INFO:root:./model_files/1586773075.221099_model_vanilla_transformer.pt
INFO:root:Loading cached dataset...
INFO:root:Gating function is: none
INFO:root:The optimizer used is: sgd
INFO:root:Running without errors
INFO:root:| epoch   1 | batch   128 | lr 0.010000 | ms/batch 266.64 | loss    13.8649 | aux_loss     0.0000 | ppl 1050645.7440
INFO:root:| epoch   1 | batch   256 | lr 0.010000 | ms/batch 201.91 | loss    13.7596 | aux_loss     0.0000 | ppl 945590.7442
INFO:root:| epoch   1 | batch   384 | lr 0.010000 | ms/batch 202.07 | loss    13.7559 | aux_loss     0.0000 | ppl 942097.5937
INFO:root:| epoch   1 | batch   512 | lr 0.010000 | ms/batch 201.95 | loss    13.7609 | aux_loss     0.0000 | ppl 946816.3458
INFO:root:| epoch   1 | batch   640 | lr 0.010000 | ms/batch 202.17 | loss    13.7565 | aux_loss     0.0000 | ppl 942669.3384
INFO:root:| epoch   1 | batch   768 | lr 0.010000 | ms/batch 202.18 | loss    13.7557 | aux_loss     0.0000 | ppl 941929.8293
INFO:root:| epoch   1 | batch   896 | lr 0.010000 | ms/batch 202.11 | loss    13.7587 | aux_loss     0.0000 | ppl 944778.2395
INFO:root:| epoch   1 | batch  1024 | lr 0.010000 | ms/batch 202.04 | loss    13.7585 | aux_loss     0.0000 | ppl 944601.2708
INFO:root:| epoch   1 | batch  1152 | lr 0.010000 | ms/batch 201.93 | loss    13.7607 | aux_loss     0.0000 | ppl 946653.1156
INFO:root:| epoch   1 | batch  1280 | lr 0.010000 | ms/batch 202.29 | loss    13.7594 | aux_loss     0.0000 | ppl 945394.5205
INFO:root:| epoch   1 | batch  1408 | lr 0.010000 | ms/batch 202.76 | loss    13.7536 | aux_loss     0.0000 | ppl 939953.6997
INFO:root:| epoch   1 | batch  1536 | lr 0.010000 | ms/batch 202.59 | loss    13.7591 | aux_loss     0.0000 | ppl 945151.3034
INFO:root:| epoch   1 | batch  1664 | lr 0.010000 | ms/batch 202.29 | loss    13.7539 | aux_loss     0.0000 | ppl 940222.1637
INFO:root:| epoch   1 | batch  1792 | lr 0.010000 | ms/batch 202.56 | loss    13.7591 | aux_loss     0.0000 | ppl 945139.9167
INFO:root:| epoch   1 | batch  1920 | lr 0.010000 | ms/batch 202.81 | loss    13.7564 | aux_loss     0.0000 | ppl 942583.9163
INFO:root:| epoch   1 | batch  2048 | lr 0.010000 | ms/batch 202.75 | loss    13.7538 | aux_loss     0.0000 | ppl 940193.2397
INFO:root:| epoch   1 | batch  2176 | lr 0.010000 | ms/batch 202.64 | loss    13.7561 | aux_loss     0.0000 | ppl 942275.3078
INFO:root:| epoch   1 | batch  2304 | lr 0.010000 | ms/batch 203.00 | loss    13.7551 | aux_loss     0.0000 | ppl 941368.5977
INFO:root:| epoch   1 | batch  2432 | lr 0.010000 | ms/batch 202.84 | loss    13.7560 | aux_loss     0.0000 | ppl 942205.2459
INFO:root:| epoch   1 | batch  2560 | lr 0.010000 | ms/batch 202.67 | loss    13.7537 | aux_loss     0.0000 | ppl 940068.5872
INFO:root:| epoch   1 | batch  2688 | lr 0.010000 | ms/batch 202.60 | loss    13.7572 | aux_loss     0.0000 | ppl 943388.1026
INFO:root:| epoch   1 | batch  2816 | lr 0.010000 | ms/batch 202.75 | loss    13.7552 | aux_loss     0.0000 | ppl 941445.4785
INFO:root:| epoch   1 | batch  2944 | lr 0.010000 | ms/batch 202.65 | loss    13.7519 | aux_loss     0.0000 | ppl 938397.7083
INFO:root:| epoch   1 | batch  3072 | lr 0.010000 | ms/batch 202.26 | loss    13.7503 | aux_loss     0.0000 | ppl 936916.9506
INFO:root:| epoch   1 | batch  3200 | lr 0.010000 | ms/batch 202.36 | loss    13.7537 | aux_loss     0.0000 | ppl 940094.0963
INFO:root:| epoch   1 | batch  3328 | lr 0.010000 | ms/batch 202.49 | loss    13.7522 | aux_loss     0.0000 | ppl 938634.0753
INFO:root:| epoch   1 | batch  3456 | lr 0.010000 | ms/batch 202.69 | loss    13.7548 | aux_loss     0.0000 | ppl 941090.6280
INFO:root:| epoch   1 | batch  3584 | lr 0.010000 | ms/batch 202.52 | loss    13.7529 | aux_loss     0.0000 | ppl 939343.9398
INFO:root:| epoch   1 | batch  3712 | lr 0.010000 | ms/batch 202.28 | loss    13.7533 | aux_loss     0.0000 | ppl 939713.8847
INFO:root:| epoch   1 | batch  3840 | lr 0.010000 | ms/batch 202.63 | loss    13.7518 | aux_loss     0.0000 | ppl 938239.3617
INFO:root:| epoch   1 | batch  3968 | lr 0.010000 | ms/batch 202.76 | loss    13.7519 | aux_loss     0.0000 | ppl 938370.8049
INFO:root:| epoch   1 | batch  4096 | lr 0.010000 | ms/batch 202.27 | loss    13.7520 | aux_loss     0.0000 | ppl 938457.1108
INFO:root:| epoch   1 | batch  4224 | lr 0.010000 | ms/batch 202.53 | loss    13.7529 | aux_loss     0.0000 | ppl 939300.3392
INFO:root:| epoch   1 | batch  4352 | lr 0.010000 | ms/batch 202.89 | loss    13.7495 | aux_loss     0.0000 | ppl 936098.1869
INFO:root:| epoch   1 | batch  4480 | lr 0.010000 | ms/batch 202.65 | loss    13.7513 | aux_loss     0.0000 | ppl 937829.9448
INFO:root:| epoch   1 | batch  4608 | lr 0.010000 | ms/batch 202.55 | loss    13.7453 | aux_loss     0.0000 | ppl 932177.7326
INFO:root:| epoch   1 | batch  4736 | lr 0.010000 | ms/batch 202.26 | loss    13.7462 | aux_loss     0.0000 | ppl 932993.9431
INFO:root:| epoch   1 | batch  4864 | lr 0.010000 | ms/batch 202.79 | loss    13.7448 | aux_loss     0.0000 | ppl 931735.9865
INFO:root:| epoch   1 | batch  4992 | lr 0.010000 | ms/batch 202.82 | loss    13.7465 | aux_loss     0.0000 | ppl 933359.0158
INFO:root:| epoch   1 | batch  5120 | lr 0.010000 | ms/batch 202.32 | loss    13.7469 | aux_loss     0.0000 | ppl 933709.7614
INFO:root:| epoch   1 | batch  5248 | lr 0.010000 | ms/batch 202.49 | loss    13.7453 | aux_loss     0.0000 | ppl 932219.8705
INFO:root:| epoch   1 | batch  5376 | lr 0.010000 | ms/batch 202.79 | loss    13.7453 | aux_loss     0.0000 | ppl 932192.6720
INFO:root:| epoch   1 | batch  5504 | lr 0.010000 | ms/batch 202.98 | loss    13.7459 | aux_loss     0.0000 | ppl 932740.9692
INFO:root:| epoch   1 | batch  5632 | lr 0.010000 | ms/batch 202.32 | loss    13.7437 | aux_loss     0.0000 | ppl 930714.5077
INFO:root:| epoch   1 | batch  5760 | lr 0.010000 | ms/batch 202.06 | loss    13.7431 | aux_loss     0.0000 | ppl 930136.3615
INFO:root:| epoch   1 | batch  5888 | lr 0.010000 | ms/batch 202.28 | loss    13.7427 | aux_loss     0.0000 | ppl 929812.4170
INFO:root:| epoch   1 | batch  6016 | lr 0.010000 | ms/batch 202.18 | loss    13.7445 | aux_loss     0.0000 | ppl 931490.4881
INFO:root:| epoch   1 | batch  6144 | lr 0.010000 | ms/batch 202.76 | loss    13.7409 | aux_loss     0.0000 | ppl 928088.0167
INFO:root:| epoch   1 | batch  6272 | lr 0.010000 | ms/batch 202.61 | loss    13.7421 | aux_loss     0.0000 | ppl 929240.5359
INFO:root:| epoch   1 | batch  6400 | lr 0.010000 | ms/batch 202.87 | loss    13.7410 | aux_loss     0.0000 | ppl 928161.5307
