INFO:root:./model_files/1586887356.603747_model_moe_transformer.pt
INFO:root:The batch size is: 16
INFO:root:Number of epochs is : 40
INFO:root:The context length is : 32
INFO:root:D_model is : 512
INFO:root:Number of attention heads is : 2
INFO:root:Number of decoder layers is : 6
INFO:root:Initial learning rate is : 0.01
INFO:root:Number of warmup steps is : 4000
INFO:root:Loading cached dataset...
INFO:root:Gating function is: moe
INFO:root:The optimizer used is: sgd
INFO:root:Running without errors
INFO:root:| epoch   1 | batch   128 | lr 0.010000 | ms/batch 491.18 | loss    13.8462 | aux_loss     0.0835 | ppl 1031131.4029
INFO:root:| epoch   1 | batch   256 | lr 0.010000 | ms/batch 389.55 | loss    13.7402 | aux_loss     0.0838 | ppl 927466.9717
INFO:root:| epoch   1 | batch   384 | lr 0.010000 | ms/batch 389.00 | loss    13.7439 | aux_loss     0.0784 | ppl 930863.5461
INFO:root:| epoch   1 | batch   512 | lr 0.010000 | ms/batch 391.97 | loss    13.7392 | aux_loss     0.0802 | ppl 926555.3885
INFO:root:| epoch   1 | batch   640 | lr 0.010000 | ms/batch 410.34 | loss    13.7394 | aux_loss     0.0789 | ppl 926737.3310
INFO:root:| epoch   1 | batch   768 | lr 0.010000 | ms/batch 410.22 | loss    13.7383 | aux_loss     0.0836 | ppl 925730.6574
INFO:root:| epoch   1 | batch   896 | lr 0.010000 | ms/batch 411.19 | loss    13.7440 | aux_loss     0.0807 | ppl 931017.9564
INFO:root:| epoch   1 | batch  1024 | lr 0.010000 | ms/batch 404.55 | loss    13.7378 | aux_loss     0.0798 | ppl 925215.2054
INFO:root:| epoch   1 | batch  1152 | lr 0.010000 | ms/batch 382.65 | loss    13.7378 | aux_loss     0.0843 | ppl 925275.4349
INFO:root:| epoch   1 | batch  1280 | lr 0.010000 | ms/batch 382.42 | loss    13.7410 | aux_loss     0.0804 | ppl 928208.1552
INFO:root:| epoch   1 | batch  1408 | lr 0.010000 | ms/batch 396.34 | loss    13.7421 | aux_loss     0.0758 | ppl 929177.2584
INFO:root:| epoch   1 | batch  1536 | lr 0.010000 | ms/batch 387.71 | loss    13.7415 | aux_loss     0.0809 | ppl 928686.3461
INFO:root:| epoch   1 | batch  1664 | lr 0.010000 | ms/batch 385.16 | loss    13.7389 | aux_loss     0.0845 | ppl 926239.8337
INFO:root:| epoch   1 | batch  1792 | lr 0.010000 | ms/batch 415.26 | loss    13.7371 | aux_loss     0.0780 | ppl 924547.5802
INFO:root:| epoch   1 | batch  1920 | lr 0.010000 | ms/batch 410.38 | loss    13.7471 | aux_loss     0.0795 | ppl 933910.7545
INFO:root:| epoch   1 | batch  2048 | lr 0.010000 | ms/batch 413.53 | loss    13.7375 | aux_loss     0.0789 | ppl 924928.4296
