INFO:root:./model_files/2020_06_09_22_13_13_model_vanilla_transformer.pt
INFO:root:The batch size is: 64
INFO:root:Number of epochs is : 2
INFO:root:The context length is : 256
INFO:root:D_model is : 512
INFO:root:Number of attention heads is : 4
INFO:root:Number of decoder layers is : 3
INFO:root:Initial learning rate is : 0.01
INFO:root:Number of warmup steps is : 4000
WARNING:absl:TFDS datasets with text encoding are deprecated and will be removed in a future version. Instead, you should use the plain text version and tokenize the text using `tensorflow_text` (See: https://www.tensorflow.org/tutorials/tensorflow_text/intro#tfdata_example)
INFO:absl:Load dataset info from ./subwords32k/lm1b/subwords32k/1.0.0
INFO:absl:Reusing dataset lm1b (./subwords32k/lm1b/subwords32k/1.0.0)
INFO:absl:Constructing tf.data.Dataset for split train, from ./subwords32k/lm1b/subwords32k/1.0.0
WARNING:absl:TFDS datasets with text encoding are deprecated and will be removed in a future version. Instead, you should use the plain text version and tokenize the text using `tensorflow_text` (See: https://www.tensorflow.org/tutorials/tensorflow_text/intro#tfdata_example)
INFO:absl:Load dataset info from ./subwords32k/lm1b/subwords32k/1.0.0
INFO:absl:Reusing dataset lm1b (./subwords32k/lm1b/subwords32k/1.0.0)
INFO:absl:Constructing tf.data.Dataset for split test, from ./subwords32k/lm1b/subwords32k/1.0.0
INFO:root:Gating function is: none
INFO:root:The optimizer used is: adam
INFO:root:Running without errors
INFO:root:| epoch   1 | batch   128 | lr 0.010000 | ms/batch 432.59 | loss    10.6558 | aux_loss     0.0000 | ppl 42440.0757
INFO:root:| epoch   1 | batch   256 | lr 0.010000 | ms/batch 423.60 | loss    10.5703 | aux_loss     0.0000 | ppl 38961.8956
INFO:root:| epoch   1 | batch   384 | lr 0.010000 | ms/batch 424.55 | loss    10.5638 | aux_loss     0.0000 | ppl 38707.7648
INFO:root:| epoch   1 | batch   512 | lr 0.010000 | ms/batch 425.79 | loss    10.5550 | aux_loss     0.0000 | ppl 38367.0955
INFO:root:| epoch   1 | batch   640 | lr 0.010000 | ms/batch 424.59 | loss    10.5433 | aux_loss     0.0000 | ppl 37921.5055
INFO:root:| epoch   1 | batch   768 | lr 0.010000 | ms/batch 437.10 | loss    10.5284 | aux_loss     0.0000 | ppl 37359.9328
INFO:root:| epoch   1 | batch   896 | lr 0.010000 | ms/batch 462.15 | loss    10.5099 | aux_loss     0.0000 | ppl 36678.6329
INFO:root:| epoch   1 | batch  1024 | lr 0.010000 | ms/batch 457.69 | loss    10.4878 | aux_loss     0.0000 | ppl 35873.8671
INFO:root:| epoch   1 | batch  1152 | lr 0.010000 | ms/batch 444.07 | loss    10.4605 | aux_loss     0.0000 | ppl 34907.6237
INFO:root:| epoch   1 | batch  1280 | lr 0.010000 | ms/batch 441.94 | loss    10.4278 | aux_loss     0.0000 | ppl 33787.2881
INFO:root:| epoch   1 | batch  1408 | lr 0.010000 | ms/batch 441.07 | loss    10.3878 | aux_loss     0.0000 | ppl 32461.4038
